转让人,受让人,地理邻近,技术相似,关系存在
莫吉德股份公司; 克里霍里克股份公司; 电子创新科技股份公司,电子创新科技股份公司; 莫吉德股份公司; 瑞士电信流动电话公司,0,1.0,1
银晨网讯科技有限公司,上海银晨智能识别科技有限公司,0,0.5,1
索尼株式会社; 美国索尼公司; 爱华株式会社; 交互数字控股公司,美国索尼公司; 交互数字控股公司; 索尼株式会社; DRNC控股公司,0,1.0,1
徐玉锁,深圳市远望谷信息技术股份有限公司,0,1.0,1
戴尔洛吉克公司,英特尔公司,0,0.01,1
陈怡铭; 卡门国际投资有限公司,卡门国际投资有限公司; 长春藤控股有限公司,0,1.0,1
西尔弗布鲁克研究股份有限公司; 卡·西尔弗布鲁克,西尔弗布鲁克研究股份有限公司,1,0.4666666666666667,1
卡·西尔弗布鲁克; 西尔弗布鲁克研究股份有限公司,西尔弗布鲁克研究股份有限公司,1,0.6,1
PTS股份有限公司; 帕尔森特股份有限公司,奥特拉股份有限公司; PTS股份有限公司,0,1.0,1
摩托罗拉公司; 天顶投资有限责任公司; 飞思卡尔半导体公司,自由度半导体公司; 苹果公司; 天顶投资有限责任公司,1,1.0,1
LG电子株式会社,苹果电脑公司,0,0.017241379310344827,1
天津市朗亿科技有限公司,天津大学管理学院; 天津市朗亿科技有限公司,0,1.0,1
基姆·利珀; 伯明翰系统有限公司,伯明翰系统有限公司; 赛根计算机有限公司,1,1.0,1
罗威解决方案公司; 米德芭科技有限公司,罗威欧洲有限公司; 宏视欧洲有限公司,0,1.0,1
大正制药株式会社,大正制药株式会社; 本田技研工业株式会社,0,1.0,1
马正焜,宏光国际企业股份有限公司,0,1.0,1
以色列佩塔提克瓦; 伊克特尔有限公司; 索弗特科姆计算机有限公司伊克特尔有限公司,以色列佩塔提克瓦; 弗林特系统有限公司; 伊克特尔有限公司,0,1.0,1
岡本明義,日本波技术集团有限公司,0,1.0,1
北京四方同创保护与控制设备有限公司; 北京四方继保自动化股份有限公司,北京四方继保自动化股份有限公司; 北京四方继保工程技术有限公司,1,0.047619047619047616,1
北京四方同创保护与控制设备有限公司,北京四方继保自动化股份有限公司,1,0.25,1
泰拉丁公司,良瑞科技股份有限公司,0,1.0,1
摩托罗拉公司,飞思卡尔半导体公司,1,0.10204081632653061,1
富士通株式会社; AMD投资有限公司; 先进微装置公司; AMD(美国)股份有限公司; 斯班逊有限公司,富士通株式会社; 飞索股份有限公司; AMD(美国)股份有限公司; AMD投资有限公司; 赛普拉斯半导体公司,1,1.0,1
前锦网络信息技术(上海)有限公司,前程无忧网络信息技术(北京)有限公司,0,0.0,1
维斯特恩洛科有限责任公司,维斯特恩格科地震控股有限公司,0,1.0,1
浙江浙大中控技术有限公司; 浙江中控技术股份有限公司,浙江中控技术有限公司; 浙江中控技术股份有限公司; 浙江大学,0,0.5,1
深圳市中兴通讯股份有限公司上海第二研究所,中兴通讯股份有限公司,0,0.17886178861788618,1
深圳市中兴通讯股份有限公司上海第二研究所; 深圳市中兴通讯股份有限公司,深圳市中兴通讯股份有限公司; 中兴通讯股份有限公司,0,1.0,1
莱特司给网络股份有限公司,ECI电信公司,0,1.0,1
余鲲,李桂馨,0,1.0,1
布罗德施托姆电信公司; J&K服务有限责任公司; SDR财产有限责任公司,J&K服务有限责任公司; SDR财产有限责任公司; 考恩系统公司,0,1.0,1
摩托罗拉公司; 飞思卡尔半导体公司,飞思卡尔半导体公司; 亮控股责任有限公司,1,1.0,1
雷卡托系统公司,EMC公司,0,0.75,1
浙江浙大中控技术有限公司; 浙江中控技术股份有限公司,浙江中控技术股份有限公司; 浙江大学,0,0.18181818181818182,1
奥瑞斯勒有限公司,奥瑞斯勒国际有限公司,0,1.0,1
瓦润医药系统公司,瓦润医药系统技术公司,0,1.0,1
勒加托系统公司,EMC公司,0,0.25,1
致福股份有限公司,光宝科技股份有限公司,0,0.05,1
山村正树; 室屋秀树,室屋秀树,0,1.0,1
3柯姆公司,UT斯达康有限公司,1,0.5,1
模拟设计自动化有限公司,西诺谱西斯公司,0,1.0,1
宇部电子有限公司; 李乃民王宽全庞博张宏志; 张大鹏,宇部兴产株式会社; 哈尔滨工业大学,0,1.0,1
全根龙; 捷思世界株式会社,全根龙,0,1.0,1
宏创科技股份有限公司,纬创资通股份有限公司,1,0.07142857142857142,1
中国科学院物理研究所,上海蓝宝光电材料有限公司,0,1.0,1
鸿海精密工业股份有限公司; 富士康(昆山)电脑接插件有限公司,深圳富泰宏精密工业有限公司,1,0.05555555555555555,1
挹光科技股份有限公司,泽浦科技股份有限公司,0,1.0,1
浙江浙大中控技术有限公司,浙江中控技术股份有限公司,1,1.0,1
富士通株式会社,株式会社NTT都科摩; 富士通株式会社,1,0.0,1
泰拉鲍尔股份有限公司,财团法人工业技术研究院,0,1.0,1
中兴通讯股份有限公司南京分公司,中兴通讯股份有限公司,0,0.18627450980392157,1
旺讯科技股份有限公司,明泰科技股份有限公司,0,1.0,1
法国汤姆森宽带公司,汤姆森许可贸易公司,0,0.5,1
浙江浙大中控技术有限公司; 浙江中控技术股份有限公司; 宁波中控智能系统有限公司; 浙江中控研究院有限公司,浙江中控技术股份有限公司; 浙江中控研究院有限公司; 宁波中控智能系统有限公司,0,1.0,1
吴志铭,摩司科技股份有限公司,0,1.0,1
开基数码股份有限公司,明基电通股份有限公司,1,0.6666666666666666,1
高精鍊,珠海盈创科技发展有限公司,0,1.0,1
