node,degree,pagerank,assigner_count,assignee_count,total_activity
山东浪潮科学研究院有限公司,2,0.0018876272171217485,0,2,2
西门子公司; 西门子医疗有限公司,2,0.000945650148405475,1,1,2
山东汇贸电子口岸有限公司,4,0.0007613999993623027,4,0,4
山东交通学院,1,0.0007613999993623027,1,0,1
华南理工大学,2,0.0007613999993623027,2,0,2
上海海事大学,1,0.0010850909959146061,0,1,1
瞻博网络公司,1,0.0007613999993623027,1,0,1
慧与发展有限责任合伙企业,3,0.0021937814914289445,0,3,3
西安元朔科技有限公司,1,0.0007613999993623027,1,0,1
西北工业大学,1,0.0014087819924669094,0,1,1
腾讯云计算(北京)有限责任公司,2,0.0020525733008661313,0,2,2
北京英迈琪科技有限公司,1,0.0007613999993623027,1,0,1
四川中电启明星信息技术有限公司,1,0.0014087819924669094,0,1,1
中北大学,1,0.0007613999993623027,1,0,1
中国科学院地理科学与资源研究所,1,0.0007613999993623027,1,0,1
昆明理工大学,1,0.0014087819924669094,0,1,1
惠普开发有限公司,2,0.0007613999993623027,2,0,2
王彬,1,0.0007613999993623027,1,0,1
浩德科技股份有限公司,3,0.002703545978676123,0,3,3
北华航天工业学院,2,0.0007613999993623027,2,0,2
安徽师范大学,1,0.0007613999993623027,1,0,1
汤姆森许可贸易公司,2,0.0007613999993623027,2,0,2
交互数字VC控股公司,1,0.0010850909959146061,0,1,1
艾利森电话股份有限公司,2,0.0007613999993623027,2,0,2
南方电网数字电网科技(广东)有限公司,3,0.0017163209940733975,0,3,3
合肥龙智机电科技有限公司,6,0.00304355174458324,0,6,6
北京金山安全软件有限公司,2,0.0014087819924669094,1,1,2
珠海豹趣科技有限公司,1,0.001959252015896623,0,1,1
浙江省北大信息技术高等研究院; 杭州未名信科科技有限公司,1,0.0007613999993623027,1,0,1
杭州未名信科科技有限公司; 浙江省北大信息技术高等研究院,1,0.0014087819924669094,0,1,1
天聚地合(苏州)数据股份有限公司,2,0.0028025169749839687,0,2,2
深圳市商汤科技有限公司,1,0.0007613999993623027,1,0,1
刘勇,1,0.0007613999993623027,1,0,1
北京创鑫旅程网络技术有限公司,1,0.0014087819924669094,0,1,1
北京神州数码云科信息技术有限公司,2,0.0008333313319294813,1,1,2
上海交通大学,1,0.0007613999993623027,1,0,1
广东电网有限责任公司广州供电局,1,0.0014087819924669094,0,1,1
北京迈格威科技有限公司,2,0.0007613999993623027,2,0,2
迈驰智行(重庆)科技有限公司,2,0.0013008849936161418,0,2,2
湖南大学,1,0.0007613999993623027,1,0,1
南京信息工程大学,2,0.0014087819924669094,1,1,2
杭州师范大学钱江学院,3,0.0007613999993623027,3,0,3
华为终端有限公司,2,0.0017338461741453137,1,1,2
深圳光启合众科技有限公司,1,0.0007613999993623027,1,0,1
深圳光启空间技术有限公司,1,0.0014087819924669094,0,1,1
华为数字技术(苏州)有限公司,1,0.0007613999993623027,1,0,1
武汉斗鱼网络科技有限公司,4,0.0007613999993623027,4,0,4
重庆贝奥新视野医疗设备有限公司,2,0.0010527218962593757,0,2,2
西门子医疗有限公司,3,0.0018223946512724624,0,3,3
莱芜职业技术学院,1,0.0007613999993623027,1,0,1
燕山大学,3,0.0007613999993623027,3,0,3
广州酷狗计算机科技有限公司; 成都酷狗创业孵化器管理有限公司,2,0.004993430286610057,1,1,2
成都酷狗创业孵化器管理有限公司; 广州酷狗计算机科技有限公司,2,0.004993430286610057,1,1,2
西门子(中国)有限公司,2,0.0007613999993623027,2,0,2
索尼公司,2,0.0009619483516196169,1,1,2
蚂蚁区块链科技(上海)有限公司,3,0.0026550899938386765,0,3,3
许昌学院,2,0.0009232454976384545,1,1,2
阿里云计算有限公司,3,0.002238095347877876,0,3,3
成都格瑞思文化传播有限公司,1,0.0007613999993623027,1,0,1
北京盟创科技有限公司,1,0.0014087819924669094,0,1,1
富士通株式会社,2,0.0007613999993623027,2,0,2
陕西师范大学,4,0.0012227085017720344,3,1,4
淮阴工学院,7,0.0007613999993623027,7,0,7
南昌大学,1,0.0007613999993623027,1,0,1
长安大学,8,0.0007613999993623027,8,0,8
中咨数据有限公司; 中国公路工程咨询集团有限公司,2,0.0011660137450526821,0,2,2
云南大学,1,0.0007613999993623027,1,0,1
成都汇智远景科技有限公司,3,0.0007613999993623027,3,0,3
常州工学院,1,0.0007613999993623027,1,0,1
北京百卓网络技术有限公司,2,0.0015166789913176773,0,2,2
吉林大学,1,0.0007613999993623027,1,0,1
湖北华中电力科技开发有限责任公司,7,0.0027874364264983084,0,7,7
浙江知多多网络科技有限公司,2,0.0018998110018833016,0,2,2
阿里巴巴达摩院(杭州)科技有限公司,4,0.0021667367978951985,0,4,4
诺基亚西门子通信公司,1,0.0008692969982130706,0,1,1
天津职业技术师范大学,1,0.0007613999993623027,1,0,1
中国人民解放军国防科学技术大学,1,0.0007613999993623027,1,0,1
中国人民解放军国防科技大学,1,0.0014087819924669094,0,1,1
富泰华工业(深圳)有限公司; 鸿海精密工业股份有限公司,1,0.0007613999993623027,1,0,1
嘉善县魏塘资产管理有限公司,3,0.0028411634845335516,0,3,3
上海闻泰电子科技有限公司,1,0.0007613999993623027,1,0,1
上海闻泰信息技术有限公司,1,0.0014087819924669094,0,1,1
重庆知遨科技有限公司,1,0.0007613999993623027,1,0,1
青岛科技大学,1,0.0014087819924669094,0,1,1
TCL通讯(宁波)有限公司,3,0.0013905106286397338,1,2,3
中国石油大学(华东),2,0.0014087819924669094,1,1,2
哈尔滨工程大学,3,0.001959252015896623,2,1,3
黑龙江科技大学,1,0.0011606840048737426,0,1,1
惠州TCL移动通信有限公司,7,0.0007613999993623027,7,0,7
RPX公司,1,0.0008692969982130706,0,1,1
捷讯研究有限公司,2,0.0013008849936161418,0,2,2
美国西门子医疗解决公司,2,0.0007613999993623027,2,0,2
西门子保健有限责任公司,2,0.0012693411449577784,0,2,2
河北大学,1,0.0010850909959146061,0,1,1
上海斐讯数据通信技术有限公司,6,0.0016245759901684451,4,2,6
曙光星云信息技术(北京)有限公司,1,0.001106735505448359,0,1,1
芯鑫融资租赁(北京)有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁有限责任公司,3,0.0015463994983243377,2,1,3
展讯通信(上海)有限公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁有限责任公司,3,0.0016346322393270805,1,2,3
纽昂斯通讯公司,2,0.0008261381986727634,1,1,2
中国南方电网有限责任公司; 南方电网数字电网研究院股份有限公司,3,0.0007613999993623027,3,0,3
北京旷视科技有限公司,3,0.0007613999993623027,3,0,3
王龙,2,0.0007613999993623027,2,0,2
安华高科技杰纳勒尔IP(新加坡)私人有限公司,1,0.0007613999993623027,1,0,1
原相科技股份有限公司,3,0.0014087819924669094,2,1,3
北京嘉沐安科技有限公司,1,0.0007613999993623027,1,0,1
农夫铺子发展集团有限公司,1,0.0014087819924669094,0,1,1
雷飏,1,0.0007613999993623027,1,0,1
