"转让人","受让人","IPC分类号"
"宿迁腾安新型建材有限公司","江苏佳立新材料科技有限公司","G06V10/56; G06V10/46; G06V10/30; G06V10/82; G06N3/08"
"洛阳市众信佳人工智能科创研究院有限公司","喀什众信佳大数据服务有限公司","H04L61/10; H04L61/2575; H04L101/604; H04L101/622"
"中机生产力促进中心有限公司","中机生产力促进中心有限公司; 中国机械总院集团北京机电研究所有限公司","G06F30/20; G06F30/17; B21F1/00"
"江苏海辉塑胶制品有限公司","广州索耐能源科技有限公司","G06T7/00; G06T7/62; G06V10/764"
"泗阳三江橡塑有限公司","江门市荣达汽车零部件有限公司","G06T7/66; G06T7/262; G06T7/11; G06T7/00; G06T5/30; G06T5/00; G06V10/762"
"广州根链国际网络研究院有限公司","刘东; 下一代互联网关键技术和评测北京市工程研究中心有限公司","H04L61/5007; H04L9/06; G06F16/955"
"富国科技集团有限公司; 江苏豪尚新材料科技有限公司","上海滩泛数据科技有限公司; 富国科技集团有限公司","G06T7/00; G06T7/11; G06T7/13; G06T7/90; G06T5/40; G06T5/20; G06T5/00"
"浙江华云信息科技有限公司; 国网浙江省电力有限公司营销服务中心","浙江华云清洁能源有限公司; 国网浙江省电力有限公司营销服务中心","H04L41/06; H04L41/0631; H04L43/04"
"江苏豪尚新材料科技有限公司","杭州春德科技有限公司","G06T7/13; G06T7/136; G06T7/187; G06F17/10; G06Q10/04"
"北京每日优鲜电子商务有限公司; 成都毅莘瑞科技有限公司","成都毅莘瑞科技有限公司; 武汉轻购云科技有限公司","G06V10/25; G06V10/774; G06V10/82; G06K9/62; G06N3/04"
"石家庄铁道大学","中国国家铁路集团有限公司; 石家庄铁道大学","G06K9/00; G06K9/62; G01M13/045"
"北京课游工场数字科技有限公司","北京米挞文化科技有限公司","G06F9/451; G06F3/0483; G06F3/04817"
"无锡盛景微电子股份有限公司","盛泽芯集成电路(无锡)有限公司","G06F21/31; H04L9/40"
"上海雄程海洋工程股份有限公司","上海资巽海洋科技有限公司","G06F30/20; G06F113/08"
"辽宁工业大学","锦州市柏源医疗器械有限公司","G08B21/04; G08B3/10; G08B25/08; G08B25/12"
"上海天好信息技术股份有限公司","江苏天好富兴数据技术有限公司","G06F11/36"
"重庆邮电大学","岳阳市测绘院有限公司","G06T5/40; G06T5/50"
"上海喜马拉雅科技有限公司","喜丈(上海)网络科技有限公司","G06F16/9535; G06F16/9538; G06F16/958; G06F16/2458; G06F16/248"
"深圳立专技术转移中心有限公司; 商丘师范学院","中东云科技集团有限公司; 深圳立专技术转移中心有限公司","H04L51/212; H04L51/214"
"江南大学","无锡市威瑞达汽车零部件有限公司","G06F30/15; G06F30/20; B60G17/018"
"河南汇银丰投资管理有限公司","西藏君戎航空科技有限公司","G06Q10/0639; G06Q50/10; G06T19/00"
"肖勇","新疆数字证书认证中心(有限公司)","H04L9/40; H04L9/32; H04L9/08; H04L41/28; G06Q20/38; G06Q20/40; G08B21/24; H05K5/02; B08B1/12; B08B1/36"
"贵州电网有限责任公司; 南方电网数字电网研究院股份有限公司","贵州电网有限责任公司; 南方电网数字电网集团有限公司","G06F9/50; G06N3/0464; G06N3/0495; G06N3/063"
"武汉大学","深圳市曌翼电子科技集团有限公司","H04L27/34; H04L27/36"
"安波福技术(2)有限责任公司; 安波福制造管理服务有限责任公司; APTIV技术有限公司","安波福制造管理服务有限责任公司; 安波福技术股份公司; 安波福技术(2)有限责任公司","G06F11/22; G06F13/42"
"重庆邮电大学","重庆艺臻云智能科技有限公司","H04L41/14"
"杭州雅智医疗技术有限公司","杭州丰雅医疗科技有限公司","G06F30/10"
"薛金莲","内蒙古快为科技有限公司","G06Q50/02; A01M7/00; G06Q10/06"
"淮北鹏顺信息科技有限公司","湖北华中电力科技开发有限责任公司","G06F3/06"
"上海翰宇生物科技有限公司","何玮","G06T7/11; G06N3/0455; G06N3/0464; G06V10/80"
"阿里巴巴(中国)有限公司","优酷文化科技(北京)有限公司","G06F40/166; G06F40/197; G06F40/284; G06F40/289"
"哈尔滨逐宇航天科技有限责任公司","哈尔滨工业大学","G06F30/15; G06F30/27; G06N3/04; G06F113/08; G06F119/14"
"厦门元屿安科技有限公司","厦门市安杰云网络有限公司","H04L67/06; H04L67/1001; H04L67/146; H04L9/40; G06F8/30; G06F8/71"
"西安创艺教育培训中心有限公司","合肥市九学王教育科技有限公司","G06F1/16; G09B5/02"
"北京科技大学","北京阿隆科技有限公司","H04L41/14; H04L67/12; G06F17/16; G06F17/14; G06F17/11"
"苏州网智通科技有限公司","爱动超越人工智能科技(苏州)有限责任公司","G06N20/20; G06F9/50"
"北京航天神禾防务技术有限公司","北京福正科技有限公司","G06V20/17; G06T7/50; G06T7/62; G06T7/73"
"上海电气集团股份有限公司","上海电气集团输配电装备有限公司","H04L7/00; H04L7/04; H02J13/00"
"北京泽桥医疗科技股份有限公司","吴嘉瑞; 段小霞","G16B15/30; G16B30/00; G16B40/00"
"山东华云三维科技有限公司","山东华云三维科技有限公司; 山东山大华天软件有限公司","G06F8/38; G06F8/34; G06F8/41; G06F11/36"
"安徽有声电子科技有限公司","合肥坤语智能科技有限公司","G10L15/22; G10L25/60; G10L15/26; B08B5/02"
"许强; 上海生慧樘科技有限公司","上海生慧樘科技有限公司; 天津远珩科技发展有限公司","H04L67/60; H04L67/146; H04L69/22; G06F16/901"
"上海生慧樘科技有限公司; 许强","天津远珩科技发展有限公司; 上海生慧樘科技有限公司","H04L67/10; H04L67/146; G06F16/901; G06F16/951"
"深圳市捷力通信息技术有限公司","深圳海昽科技有限公司","H04L9/40; H04L41/0803; H04L67/00; H04L43/08"
"武汉和悦数字科技有限公司","深圳星和动力科技有限公司","G06Q30/02; G06Q30/00; G06Q30/06; G06Q40/00"
"广州市浚聪计算机有限公司","乔之诺(上海)信息技术有限责任公司","G06Q10/109; G06Q10/04; G06Q30/02"
"知远(海南)物联网科技有限公司","海南南斗数字导航科技有限公司","G06F1/20; G06F1/18"
"张畅","山西数字政府建设运营有限公司","G06F16/583; G06F16/55; G06V10/44; G06V10/764"
"无边界(苏州)新材料科技有限公司; 深圳市燃气集团股份有限公司","无边界(苏州)新材料科技有限公司","G01H9/00; G01K11/32"
"阿里云计算有限公司; 淘宝(中国)软件有限公司","阿里云计算有限公司","G06F16/2458; G06F16/22; G06F3/06"
"曾焕快","河北华巨电气设备有限公司","B60L53/31; B60L53/60; B60L53/66; B60L53/14; B60L55/00"
"北京稼敏禾安科技有限公司","郑启燕","G06F17/00; G06Q10/10; G06Q10/06; G06Q50/26"
"北京理工大学; 江苏省精创电气股份有限公司","北京理工大学","F25B45/00; F25B49/00; G06N5/04; G06N3/042; G06N3/0499; G06N3/084; G06F17/13"
"北京福乐云数据科技有限公司","北京福乐云科技有限公司","A61B5/0225; A61B5/0205; A61B5/024; A61B5/08; A61B5/00"
"武汉纺织大学","湖北比帆制衣有限公司","G06Q10/04; G06V10/764; G06V10/82; G06F16/535; G06N3/04"
"北京百度网讯科技有限公司","骏玖电子科技(上海)有限公司","B60W60/00; B60W40/02"
"南京第壹时间信息科技有限公司","杭州凯立通信有限公司","G06Q30/018; G06F16/9537; H04L67/12; G08B21/24"
"京东方数字科技有限公司","东方艺云(北京)数字科技有限公司","G06T7/90; G06T5/00; G06T7/194; G06T7/136"
"西北大学","陕西锦仲秦通数字科技有限责任公司","G16C20/90; G16C20/70; G06F16/33; G06F16/35; G06F16/36; G06F18/241; G06N3/0464; G06N3/048; G06N3/08; G06F40/295; G06F40/30"
"南京云蝙信息技术有限公司","北京深思得文化创意有限公司","G06F16/2458; G06F16/22"
"顺通科技发展(山东)有限公司; 南京化科天创科技有限公司","鸥贝云信用科技(深圳)有限公司; 顺通科技发展(山东)有限公司","G06Q10/0635; G06Q10/0639; G06Q30/018"
"赵茂发; 广州华赛数据服务有限责任公司","北京恒盛成宏科技发展有限公司; 赵茂发","G06Q30/06; G06F16/906; G06K17/00"
"吴振星","李华军","H04L67/10; G08B17/10; G08B25/08; H04L67/025; H04L67/1095; H04L67/1097; H04L67/12; H04L67/141; H04M1/72415; H04W4/90; H04W84/18"
"深圳市海洋王照明工程有限公司; 海洋王照明科技股份有限公司; 海洋王(东莞)照明科技有限公司","海洋王照明科技股份有限公司; 深圳市海洋王照明工程有限公司; 海洋王(东莞)照明科技有限公司; 深圳市海洋王绿色照明技术有限公司; 深圳市海洋王电网照明技术有限公司; 深圳市海洋王铁路照明技术有限公司; 深圳市海洋王船舶场馆照明技术有限公司; 深圳市海洋王石化照明技术有限公司; 深圳市海洋王冶金照明技术有限公司; 深圳市海洋王公消照明技术有限公司; 深圳市海洋王石油照明技术有限公司; 深圳市海洋王技术有限公司","H04L67/025; H04L47/78; H04L49/102"
"博才汇(宁波)信息科技有限公司","山东视角数字技术有限公司","G06F16/33; G06F16/953; G06V30/40; G06V10/774"
"浙江国遥地理信息技术有限公司","浙江国遥地理信息技术有限公司; 北京国遥新天地信息技术股份有限公司","G06F30/27; G06K9/00; G06K9/62; G01W1/10; G01S19/39; G06F111/08; G06F113/08; G06F119/10"
"长沙朗源电子科技有限公司","广州朗国电子科技股份有限公司","G06F3/041; G06V30/148; G06V30/32"
"深圳市裕熙科技有限公司","南方电网互联网服务有限公司","G06F16/29; G06F16/22; G06F21/62"
"广州世安智链科技有限公司","广州世安智慧科技有限公司","H04L9/32; H04L9/08; G06F21/31; G06F21/60; G06F21/64; G16Y20/40; G16Y40/50"
"合肥讯飞读写科技有限公司","成都读写科技有限公司","G06F3/04847; G06F3/04883"
"中国民航大学","天津市天森智能设备有限公司","G06V20/00; G06V20/40; G06V10/44; G06V10/764; G06V10/82; G06N3/0499; G06T7/62; F02D41/22"
"太原理工大学","上海贝业斯健康科技有限公司","G06F18/24; A61B5/00; A61B5/02; G06F18/213; G06F18/10"
"北京鹰瞳科技发展股份有限公司","上海鹰瞳医疗科技有限公司","G06T7/00; G06T7/11; G06N3/04; G06N3/08; G06K9/62; G06V10/44; G06V10/764; G06V10/82"
"重庆邮电大学","南京昊凛科技有限公司","G06F9/50; G06N3/045; H04B7/185; H04W4/46; G06F9/445"
"重庆邮电大学; 深圳泓越信息科技有限公司","深圳泓越信息科技有限公司; 成都宓科网络科技服务有限公司","G06Q10/04; G06N3/0442; G06N3/0464; G06N3/08; G06N3/006"
"济南浪潮智投智能科技有限公司","智慧泉城智能科技有限公司; 眉山浪潮数字科技有限公司","G06Q10/0631; G06Q10/10; G06Q50/26; G05D1/46"
"淮北鹏顺信息科技有限公司","广州华数云计算有限公司","G06F21/62; G06V10/764"
"深圳万知达技术转移中心有限公司; 重庆邮电大学","中屹技术有限公司; 深圳万知达技术转移中心有限公司","H04L27/00; H04J13/00"
"四川锋准机器人科技有限公司","美呀医疗科技(北京)有限公司","G06T7/11; G06T7/136; G06T7/68; G06T19/20; G06T5/20"
"深圳市聚益信息科技有限公司","深圳市聚睿信息科技有限公司","G06Q10/10; G06Q40/02; G06Q50/18; G06F16/25"
"临沂大学","济南荣途信息科技有限公司","H04L9/40"
"穗保(广州)科技有限公司","世纪盛唐(北京)管理咨询有限公司","G06Q10/10; G06F16/951; G06F16/215; G06F16/25; G06F16/2458; G06F16/28; G06N3/08"
"深圳市吉祥腾达科技有限公司","深圳市和为顺网络技术有限公司","H04L9/40; H04L67/02; H04W12/08"
"博雷顿科技股份公司","博雷顿(湖南)科技有限公司","G06Q10/0633; G06Q10/0631; G06Q10/10; G06F18/24; G06T7/70; G06N3/0464; G06N3/048; G06N3/084; B60W60/00"
"重庆邮电大学","科硕大成航空科技(成都)有限公司","G06T5/60; G06N3/0455; G06N3/08"
"深圳市凌晨知识产权运营有限公司; 杭州复杂美科技有限公司; 南京本链信息科技有限公司","一值(上海)文化传播有限公司; 深圳市凌晨知识产权运营有限公司","G06Q30/0601"
"上海核工程研究设计院股份有限公司","上海核工程研究设计院股份有限公司; 国核电力技术服务有限公司","G06T3/4038; G06T7/80; G06V10/74; G06V10/75"
"临沂大学","山东临创数谷信息科技有限公司","H04L67/104; H04L9/32; H04L9/40"
"重庆邮电大学","重庆征信有限责任公司","G06F16/951; G06F16/9538; G06F16/35"
"许士明","广东树华教育咨询有限公司","G09B5/14; A61L2/18"
"广州万辉信息科技有限公司","盛询科技集团有限公司","G06F16/33; G06F16/31; G06F16/35; G06F40/284; G06Q50/18"
"车伟红; 广州聚高信息科技有限公司","广州聚高信息科技有限公司; 北京彬峰安视科技有限公司","G06Q50/26; G06V30/19; H04L67/10; G06V30/148"
"合肥登登立科技有限公司","杭州流形新网络科技有限公司","H04L43/08; H04L9/40; H04L67/02"
"杭州盈嘉网络科技有限公司","杭州智科飞创信息科技有限公司","G06F15/16; G06F1/16; G06F1/20"
"广州容溢教育科技有限公司","广州简知信息科技有限公司","G06Q50/20; G06Q10/06; G06F16/735; G09B5/06"
"深圳市澈影医生集团有限公司","深圳市铱硙医疗科技有限公司","G06T7/00; G06T7/62; G06T7/90"
"桀安信息安全技术(上海)有限公司","上海赋华网络科技有限公司","H04L9/40"
"北京工业大学","佳缘科技股份有限公司","G06F11/14; G06F11/22"
"河北师范大学","优教云(河北)智能科技发展有限公司","H04W40/10; H04W40/20; H04W24/06; H04W84/18; G06N5/04; G06N3/0464; G06N3/092; G06T17/00"
"广东钜联信息科技有限公司","江苏梦想物联有限公司","H04L9/08; H04L9/32; H04L67/1042"
"重庆邮电大学","北京北商西电科技有限公司","H04L41/14; H04L41/0894; G06N20/00"
"耿树珍","浙江柯尼达科技有限公司","G06F1/20; G06F1/16"
"重庆邮电大学","深圳金英拓联科技有限公司","H04L41/14; H04L41/142; H04L43/0852; H04L47/76; H04L67/1008"
"重庆紫光华智科技有限公司","重庆紫光智安科技有限公司","G06F3/06"
"芽米科技(广州)有限公司; 桂林旅游学院","国诺考务服务(深圳)有限公司; 芽米科技(广州)有限公司","G06F16/33; G06F16/35; G06F40/216; G06F40/30; G06F18/241; G06N3/045; G06N3/048; G06N3/08"
"桂林旅游学院","芽米科技(广州)有限公司","G06F16/33; G06F16/35; G06F40/211; G06F40/216; G06F40/30; G06F18/241; G06N3/0455; G06N3/045; G06N3/08"
"深圳泓越信息科技有限公司; 重庆邮电大学","防城港阿康互联网医疗有限公司; 深圳泓越信息科技有限公司","G06F21/60; G06F21/62; G06F21/31; G16H10/60"
"瓴里网络科技(上海)有限公司","裴学敏","H04L51/046; H04L12/18; H04L51/10; H04L51/18"
"重庆亲禾智千科技有限公司","宁夏交投科技发展有限公司","G06T7/00; G06V20/58; G06V20/40; H04L65/65; G06N3/04; G06V10/764; G06V10/82"
"华南理工大学","普朗克智能装备(广州)有限公司","G06T7/00; G06T7/11; G06T7/70; G06T5/50; G06N3/0464; G06N3/08"
"王俊文","四川云互未来科技有限公司","H04L9/40; G06F21/62"
"深圳市万物云科技有限公司","深圳市万科物业服务有限公司; 深圳市万物云科技有限公司","G06V20/52; G06V20/40; G06V10/82; G06V10/70; G06N3/04; G06N5/04; G06Q50/10"
"武汉航浚科技有限公司; 武汉大学","武汉大学","G06V40/16; G06V40/20; G06V10/764; G06V10/774"
"重庆邮电大学; 深圳万知达技术转移中心有限公司","深圳万知达技术转移中心有限公司; 萍乡市萍宣再生资源有限公司","G06F16/583; G06F16/532; G06F40/289; G06N3/0464; G06N3/084"
"重庆邮电大学; 深圳泓越企业管理咨询有限公司","深圳泓越企业管理咨询有限公司; 江苏信创网安数据科技有限公司","G06V10/75; G06F16/583; G06V10/40; G06V10/26; G06V10/82; G06N3/0464; G06N3/08; G06V10/766"
"江苏信息职业技术学院","广州市灵智自动化系统控制有限公司无锡分公司","G06F13/38; G06F13/42"
"安徽产业互联数据智能创新中心有限公司","安徽络宝致联信息技术有限公司","G06K7/14; B60L53/31"
"重庆邮电大学","重庆杰创电力科技有限责任公司","G06F30/18; G06F30/20; G06F111/04; G06F113/04"
"江西工程学院","北京冶联智能科技有限公司","G06V20/17; G06V10/22; G06V10/28; G06V10/764; G06F3/01; G06F30/15; G06F30/20; G06F111/10; G06F119/14"
"南京理工大学紫金学院","南京科讯次元信息科技有限公司","G06F11/36; G06F18/214; G06F18/2431"
"西安理工大学","西安丝路知星科技服务有限公司","H04L9/40; H04L9/32; H04L67/1097; G06F21/64; G06Q20/38"
"中科边缘智慧信息科技(苏州)有限公司","合肥骅芯技术有限公司","H04L9/40; G06F21/62; H04L67/1097; H04L67/104"
"珠海市规划设计研究院","珠海市规划设计研究院; 西南交通大学","G06F30/13; E02D1/08; G06F119/14"
"重庆邮电大学","霄图(天津)高新技术有限公司","G05D1/46; G05D1/695; G05D1/43; G05D1/65; G05D1/644; G05D1/648; G05D109/20; G05D109/10"
"重庆邮电大学","北京城建智控科技股份有限公司","G06N3/0442; G06N3/067; G06N3/08; G06E3/00; G06F15/78"
"中国长江三峡集团有限公司; 华北电力大学(保定)","中国长江三峡集团有限公司; 华北电力大学","G06Q10/04; G06Q50/06; G06N3/0464; G06N3/08"
"重庆邮电大学; 深圳泓越企业管理咨询有限公司","深圳泓越企业管理咨询有限公司; 广西电网有限责任公司","G06F40/284; G06F40/126; G06F40/216; G06N3/0455; G06N3/0464; G06N3/0442; G06N3/084"
"安徽师范大学","南京深业智能科技有限公司","H04L43/08; H04L41/0631; H04L41/069; H04L41/14; G06N3/08"
"罗科仕科技(北京)股份有限公司","罗科仕星控股有限公司(BVI)","G06F40/35; G06N3/006; G06N3/0464; G06N3/0442; G06N3/09; G10L25/30; G10L25/63"
"启东市固德防水布有限公司","临沂金岭布业有限公司","G06T7/00; G06T7/11; G06T3/00; G06T3/40"
"阿波罗智能技术(北京)有限公司","北京中科算元科技有限公司","G06F3/14; G06F3/04845"
"葛晓磊","郑州市数字政通信息技术有限公司","H04L9/40; H04L41/0631; H04L43/0817"
"穗保(广州)科技有限公司","国金众联(北京)人力资源服务有限公司","G06F21/62; G06F21/60; G06F21/31; G06F16/176"
"高仲谦","中德高路咨询(云南)股份有限公司","H04L67/10; H04L67/1095; H04L67/12; H04L67/51"
"广州锦源网络科技有限公司","北京章鱼科技有限公司","G06F1/16; F21V33/00; F21V7/00; F21V1/00; B08B1/12; B08B1/30"
"北京感易智能科技有限公司","感易智能科技(南京)有限公司","G06V10/22; G06V10/764; G06V10/82; G06N3/0464; G06N3/08"
"广州慧思软件科技有限公司","重庆优乐租科技有限公司","G06F11/30; G06F21/60"
"北京云宽志业网络技术有限公司","广州首云智算网络信息科技有限公司","G06F3/06; H04L61/103; H04L67/02"
"布鲁克碧奥斯平有限公司","布鲁克碧奥斯平有限两合公司","G01R33/46; G06N3/08; G06N3/04"
"广州弘一信息科技股份有限公司","陕西恒晟科迈智能科技有限公司","G06F8/10; G06F16/33; G06Q10/04; G06Q10/06; G06F8/70"
"深圳英鸿骏智能科技有限公司","安徽晋兴科技有限公司","G06F21/84; G06F3/01; G06F3/0488; G06F3/16; G06F3/04842; G06F3/04847; A47G1/02"
"西安理工大学","河南善仁医疗科技有限公司","A61B5/352; A61B5/00"
"武汉飞图立创技术有限公司","湖南京洲云网络技术有限公司","G06K7/10"
"广州康盛网络科技有限公司","深圳市科泰兴业科技有限公司","G06T7/00; G06T7/11; G06V10/764"
"广州康盛网络科技有限公司","广州宏牌音响有限公司","H04R3/00; G10L21/02; G06V10/764; G06F18/2415; G06F18/23213; G06V10/762"
"泉州市益典信息科技有限公司","广州美骑网络科技股份有限公司","H04L67/55"
"北京迈格威科技有限公司; 深圳旷视金智科技有限公司","原力图新(重庆)科技有限公司","G06V10/764; G06V10/774"
"成都信息工程大学; 合肥名龙电子科技有限公司","合肥名龙电子科技有限公司; 深圳迪唯电子商务有限公司","H04L9/32"
"渤海船舶重工有限责任公司; 辽宁顺达机械制造(集团)有限公司","辽宁顺达机械制造(集团)有限公司; 渤海船舶重工有限责任公司","G06F30/20; G06F119/08"
"法诺信息产业有限公司","济南钜邦信息技术有限公司","H04L9/40"
"北京闪马智建科技有限公司","北京闪马智建科技有限公司; 上海闪马数据科技有限公司","G06Q10/06; G06K9/62"
"浙大城市学院","南京斯尼科智能科技有限公司","H04L27/14; H01L27/146"
"盐城笃诚建设有限公司","盐城笃诚科技有限公司","G06V40/10; G06V40/20; G06N3/04; G07C9/25; G07C9/29"
"肆玩江湖(福建)科技有限公司","新疆量子通信技术有限公司","G06F21/56; G06F21/57"
"中国兵器工业第五九研究所; 成都数之联科技股份有限公司","中国兵器装备集团西南技术工程研究所; 成都数之联科技股份有限公司; 中国兵器工业第五九研究所","G06T7/10"
"杭州勒贝格智能系统有限责任公司","鸿志耀星(西安)智能科技有限公司","G06F30/27; G06F119/02"
"广东汇星光电科技有限公司","毛一凡","G05D1/08; G05D1/10; G06N3/0464; G06N3/08; G06V10/82; G06V10/774"
"深圳时识科技有限公司","宁波时识科技有限公司","G06N3/063; G06N3/04"
"平安普惠企业管理有限公司","深圳市乐盈数智科技有限公司","H04L67/02; H04L67/141; H04L67/145"
"中国科学院西安光学精密机械研究所","无锡曦光健康产业有限公司","G06T7/80; G02B21/36"
"北京卓视智通科技有限责任公司","北京卓视智通科技有限责任公司; 成都卓视智通科技有限公司; 安徽神瞳科技有限公司","G06V20/58; G06V10/26; G06V10/82; G06N3/0464; G06N3/08"
"广州城建职业学院","杭州谱界智能科技有限公司","H04L9/40; G06F17/16"
"湖北文理学院","武汉拓行智网科技有限公司","G06Q10/0639; G06Q10/20; G01M13/00; G06F17/10; G06F16/28"
"上海圆徕科技有限公司","杭州圆徕科技有限公司","G06Q10/0631; G06Q10/047; G06Q10/0835; G06N3/006"
"北京特纳飞电子技术有限公司","武汉特纳飞电子技术有限公司","H04L69/04; H04W28/06; H03M7/30"
"佛山沧科智能科技有限公司","广东沧科智慧科技有限公司","G06V20/62; G06V30/146; G06V30/14; G06V30/148; G06V30/16; G06V30/19; G06K9/62; G06N3/04; G06N3/08"
"西南交通大学","北京慧风源科技有限公司","G06F30/27; F41H5/04"
"郁然","河南广电科技有限公司; 陈宁","G07B15/02; E01F9/529; E01F13/04"
"平安普惠企业管理有限公司; 郑旭纯","郑旭纯; 广州齐一互联网科技有限公司","H04L67/55; G10L15/22; G10L17/24; H04L9/40"
"北京中科国光量子科技有限公司","北京国光芯盾科技有限公司","H04L9/08; H04B10/70; H04B10/2507"
"山西灌木文化传媒有限公司","北京灌木互娱文化科技有限公司","G06T13/80; H04N5/222"
"伊枭剑","北京理工大学","G06F30/20; G06Q10/04; G06F119/02"
"未鲲(上海)科技服务有限公司; 广州华速信息技术有限公司","广州华速信息技术有限公司; 湖北秀阅诚技术服务有限公司","H04L9/40; H04L9/32; H04L9/14"
"深圳市鸿彩云实业发展有限公司","薛有红; 刘国权; 刘丹","G06V20/40; G06V20/52; G06N3/0464; G06N3/08; G06V10/25; G06V10/774; G06V10/82"
"晨贝(天津)技术有限公司","贝壳找房(北京)科技有限公司","H04L49/90; H04L67/133"
"山西能源学院","山西能源学院; 山西国源煤层气综合利用工程技术股份有限公司","G06Q50/02; G06Q10/0635; G06F16/25; G06Q50/26"
"任鹏","沈阳大学","G06F30/13; G06F30/23; G06F30/27; G06F17/16; G06F18/2135; G06F18/214; G06N3/088"
"未鲲(上海)科技服务有限公司","深圳九有数据库有限公司","H04L67/1042; G06F16/172"
"徐州天启新材料科技有限公司","中铝洛阳铜加工有限公司","G06T7/00; G06T7/11; G06T7/90; G06T5/00"
"首都师范大学","北京七鑫易维信息技术有限公司","G06F3/01"
"舟山市未来鼠信息技术有限公司; 诺正集团股份有限公司; 深圳市未来鼠信息技术有限公司","深圳市未来鼠信息技术有限公司; 舟山市未来鼠信息技术有限公司; 诺正集团股份有限公司; 杭州未来鼠科技有限公司","G06F16/21; G06F16/242; G06F16/27"
"江苏元贞智能科技有限公司","成都海艺互娱科技有限公司","G06T5/00; G06T5/50; G06V10/77; G06V10/82; G06N3/0455; G06N3/08"
"合肥名龙电子科技有限公司; 泰州学院","株洲华莎信息科技有限公司; 合肥名龙电子科技有限公司","H04L43/50; G08B5/38; H05K5/02; H05K7/20"
"陆明杰","江西江沪科技有限公司","G06F1/16; G06F3/01; F16M11/22; F16M11/42; F16B47/00"
"辽宁师范大学","觅视智联(无锡)装备制造有限公司","G06V20/13; G06V10/44; G06V10/764; G06V10/82; G06N3/0464; G06N3/048; G06N3/084"
"云南省交通规划设计研究院股份有限公司","云南省交通规划设计研究院股份有限公司; 云南省交通投资建设集团有限公司","G06Q10/067; G06Q10/04; G06Q50/26"
"成都运荔枝科技有限公司","四川鸣鲜店配供应链管理有限公司","H04L9/40; H04L9/32"
"李瑶瑶","深圳领驭科技有限公司","B25J9/16; G06V40/16; G06V40/18"
"大象声科(深圳)科技有限公司","爱听智能科技(深圳)有限公司","G10L25/51; G10L25/30; G06F18/24; G06N3/0464; G06N3/08; G06F18/213"
"江西驰辰数智科技有限公司; 三峡大学; 张益民; 深圳万知达企业管理有限公司","翼空无人机科技(江西)有限公司; 深圳万知达企业管理有限公司; 江西驰辰数智科技有限公司; 张益民","G06T7/60; G06T7/00; G06T7/11; G06T7/136; G06T7/187; G06T7/194; G06T7/13; G06T5/70"
"广州融慧信息科技有限公司","北京流通宝数据科技服务有限公司","H04L67/1097; H04L67/1095; H04L9/40"
"重庆邮电大学; 深圳泓越信息科技有限公司","深圳泓越信息科技有限公司; 李增基","G06F16/955; G06N3/0464; G06N3/045; G06N3/0475; G06N3/094; H04L9/40"
"青岛海尔电冰箱有限公司; 海尔智家股份有限公司","青岛海尔制冷电器有限公司; 青岛海尔电冰箱有限公司; 海尔智家股份有限公司","G06V20/10; G06V10/75"
"广州公评科技有限公司","硅基(昆山)智能科技有限公司","G06T3/00; G06V40/16; G06V40/20; G06V20/40; G06V10/74; G06K9/62"
"深圳泓越企业管理咨询有限公司; 重庆邮电大学","浙江金汇数字技术有限公司; 深圳泓越企业管理咨询有限公司","G06F40/30; G06F16/35; G06F40/205; G06F40/279; G06N3/0442; G06N3/0455; G06N3/08"
"广东永耀消防安全技术有限公司","云南恒品科技有限公司","H04L67/12; H04L67/1097; H04W4/38; G08C17/02"
"三峡大学; 深圳泓越信息科技有限公司","深圳泓越信息科技有限公司; 北京城区供电开发有限公司","G06Q10/0639; G06Q50/06; H02H7/26; H02J3/36; H02J3/38"
"广西玉林链向千禧大数据有限公司; 四川链向科技集团有限公司","四川链向科技集团有限公司","H04L9/40; H04L9/32; H04L67/10"
"南通俊朗智能科技有限公司","无锡市慧航智能科技有限公司","G06T7/00; G06T5/90; G06T5/40"
"南通三信塑胶装备科技股份有限公司","东莞市名振橡塑制品有限公司","G06T7/00; G06V10/50; G06V10/74"
"海门喜满庭纺织品有限公司","深圳市鸿云软件有限公司","G06T7/00; G06T7/90; G06T7/64; G06T7/13; G06T7/62; G06T7/11; B01F35/22; B01F35/71; B01F23/00; B01F101/30"
"南京信息工程大学","南京信谱科光电科技有限公司","H01L31/101; H01L31/032; H01L31/0352; G01J5/28"
"南通奥尔嘉橡塑有限公司","河南省开仑化工有限责任公司","G06T7/00; G06T7/136; G06T7/187; G06T7/62; G06T7/90"
"江苏益捷思信息科技有限公司","厦门市虹约产品设计有限公司","G06T7/136; G06T7/90; G06T5/40; G06T7/62"
"南通沐沐兴晨纺织品有限公司","汕头市鼎泰丰实业有限公司","G06T7/00; G06T7/11; G06T7/136; G06T7/187; G06V10/80; G06V10/82; G06N3/0464; G06N3/08"
"电子科技大学成都学院; 合肥智慧龙机械设计有限公司","合肥智慧龙机械设计有限公司; 霍尔果斯源疆农业科技有限公司","G06F18/23; G06F18/214; G06N3/02; A01G25/16"
"苏州久鋐电子有限公司","苏州三百亿科技有限公司","G06F1/16; C25D7/00; C25D5/00"
"重庆邮电大学; 宋阳; 熊炜; 陈雪; 杨世利","重庆邮电大学","G06Q30/0601; G06F16/9535; G06F16/958; G06F21/60; G06N20/10"
