"转让人","受让人","申请人地区","受让人地址","转让人省份","受让人省份"
"英业达股份有限公司","国网上海市电力公司","台湾","200122 上海市浦东新区源深路1122号","台湾","20"
"程博","中乾思创(北京)科技有限公司","北京","102303 北京市门头沟区大台商贸公司玉皇庙门市部2幢1至2层DT0613(集群注册)","北京","10"
"武汉斗鱼网络科技有限公司","广州问天信息技术有限公司","湖北","510000 广东省广州市天河区华翠街54-58号202房(部位 : 202)(不可作厂房)","湖北","51"
"深圳梦境视觉智能科技有限公司","杭州融梦智能科技有限公司","浙江","310000 浙江省杭州市萧山区萧山经济技术开发区启迪路198号A-B102-1229室","浙江","31"
"罗威解决方案公司; 米德芭科技有限公司","罗威欧洲有限公司; 宏视欧洲有限公司","英国","英国伯克郡","英国","英国"
"北京筑梦园科技有限公司","北京虾喜科技有限公司","北京","100085 北京市海淀区信息路甲28号B座(二层)02A室-253号","北京","10"
"上海能感物联网有限公司","青海科瑞特富创业管理股份有限公司","青海","810003 青海省西宁市城北区宁张路97号青海大学科技园","青海","81"
"山西大学","太原清众鑫科技有限公司","山西","030006 山西省太原市综改示范区太原学府园区长治路303号807室","山西","03"
"东南大学; 宁夏电力交易中心有限公司","宁夏电力交易中心有限公司","江苏","750000 宁夏回族自治区银川市兴庆区长城东路305号","江苏","75"
"深圳大普微电子股份有限公司","苏州大普微电子科技有限公司","江苏","215000 江苏省苏州市中国(江苏)自由贸易试验区苏州片区苏州工业园区星湖街328号国华大厦A601(该地址不得从事零售)","江苏","21"
"西北大学","陕西易辉智创信息科技有限公司","陕西","710075 陕西省西安市西咸新区沣东新城征和四路2168号自贸产业园4号楼2层8495室","陕西","71"
"王牌有限公司; 迎辉科技股份有限公司","浙江锦辉光电材料有限公司; 王牌有限公司","台湾","321102 浙江省金华市兰溪市兰江街道华丰路500号; 萨摩亚阿皮亚境外商会邮政信箱217号","台湾","32"
"华南理工大学","广东科鉴检测工程技术有限公司","广东","510000 广东省广州市广州高新技术产业开发区科学城玉树工业园敬业三街2号J栋103房","广东","51"
"H. 斯托尔股份两合公司; 卡尔迈耶斯托尔研发有限公司","卡尔迈耶研发有限公司; 卡尔迈耶数字科技有限公司","德国","德国奥伯特绍森; 德国法兰克福","德国","德国"
"李逸博","湘潭大学","湖南","411105 湖南省湘潭市雨湖区","湖南","41"
"四川豪威尔信息科技有限公司","芯峰光电技术(深圳)有限公司","广东","518000 广东省深圳市南山区南头街道莲城社区南山软件园B2408","广东","51"
"上海职聘网络科技有限公司","上海职脉云信息科技有限公司","上海","200000 上海市浦东新区中国(上海)自由贸易试验区临港新片区环湖西二路888号C楼","上海","20"
"上海世山科技有限公司; 上海正帆科技有限公司","上海正帆科技股份有限公司","上海","201108 上海市闵行区春中路56号","上海","20"
"台州市吉吉知识产权运营有限公司; 上海斐讯数据通信技术有限公司","上海斐讯数据通信技术有限公司; 台州市吉吉知识产权运营有限公司; 湖州帷幄知识产权运营有限公司","浙江","201616 上海市松江区思贤路3666号; 318000 浙江省台州市椒江区洪家街道东环大道2388号农港城A区2-3167号; 318015 浙江省台州市椒江区洪家街道东环大道2388号农港城A区2-3167号; 313000 浙江省湖州市吴兴区爱山街道新天地商务写字楼1019室","浙江","20"
