"转让人","受让人","申请人地区","受让人地址","转让人省份","受让人省份"
"SPX公司; 博世汽车服务解决方案有限公司","博世汽车服务解决方案公司; 服务解决方案美国有限公司","美国","美国密歇根州","美国","美国"
"山东财经大学","山东财经大学; 山东仁功智能科技有限公司","山东","250014 山东省济南市历下区二环东路7366号","山东","25"
"车轮互联科技(上海)股份有限公司","鹏博士数智云有限公司","上海","100089 北京市海淀区北清路81号院一区1号楼3层301室","上海","10"
"北京动视科技有限公司","北京中通奥博技术有限公司","北京","100000 北京市海淀区信息路15号902","北京","10"
"合肥顶澜科技咨询有限公司","福州德发科技有限公司","安徽","350100 福建省福州市闽侯县上街镇科技东路3号创新园一期14号楼4层A-54室","安徽","35"
"永硕联合国际股份有限公司","和硕联合科技股份有限公司","台湾","中国台湾台北市","台湾","中国"
"深圳市巨潮科技有限公司","深圳市巨烽显示科技有限公司","广东","518057 广东省深圳市南山区高新南一道中国科技开发院孵化大楼201室","广东","51"
"北京薇途科技有限公司","北京麦昆场景科技有限公司","北京","101408 北京市怀柔区雁栖经济开发区雁栖路33号院1号楼103室","北京","10"
"顾荣华","深圳市华智鑫光电有限公司","贵州","518000 广东省深圳市宝安区西乡街道固兴社区勤辉路6号厂房A801","贵州","51"
"厦门喜鱼网络科技有限公司","厦门翼逗网络科技有限公司","福建","361000 福建省厦门市厦门火炬高新区软件园创新大厦C区3F-A652","福建","36"
"重庆万重山智能科技有限公司","杨美丽","重庆","202165 上海市崇明区庙镇南星村832号","重庆","20"
"苏州工业园区格网信息科技有限公司; 苏州工业园区测绘地理信息有限公司","苏州工业园区测绘地理信息有限公司","江苏","215027 江苏省苏州市苏州工业园区苏虹中路101号","江苏","21"
"北京网聘咨询有限公司","智联(无锡)信息技术有限公司","北京","214000 江苏省无锡市无锡经济开发区红星大都汇东侧8号楼(无锡人才金融港)7楼706室","北京","21"
"中兴通讯股份有限公司","刘英","广东","253600 山东省德州市乐陵市城区开发小区彭家庙8号","广东","25"
"澜起科技(上海)有限公司","上海澜至半导体有限公司; 澜至电子科技(成都)有限公司","上海","200233 上海市徐汇区宜山路900号1幢A18部位","上海","20"
"广州云博互联网技术有限公司","心科(上海)网络科技有限公司","上海","200333 上海市普陀区同普路1272号4楼4010室","上海","20"
"国家电网公司; 国网上海市电力公司; 国网电力科学研究院; 北京国电通网络技术有限公司","北京国电通网络技术有限公司; 国家电网公司; 国网上海市电力公司; 国网电力科学研究院","北京","100070 北京市丰台区航丰路一号时代财富天地大厦28层; 100031 北京市西城区西长安街86号","北京","10"
"北京易知环宇文化传媒有限公司","深圳市中惠伟业科技有限公司","广东","518000 广东省深圳市宝安区石岩街道石龙社区工业二路1号惠科工业园厂房5八层8楼802","广东","51"
"国家管网集团西南管道有限责任公司","国家石油天然气管网集团有限公司; 国家管网集团西南管道有限责任公司","四川","100013 北京市朝阳区东土城路5号A座6层08-10室","四川","10"
"昭文科技(北京)股份有限公司","东智安通(北京)科技有限公司","北京","100191 北京市海淀区花园东路30号海淀花园饭店5515室","北京","10"
